headword,word,tag,line_number,filename,context,text_type,reason,riverside_context,riverside_reason
seien,sey,v%inf,The Miller's Tale 3412,data/oxford_txts/MilT_oxford.txt,And to hir housbonde bad° hir for to sey,OXFORD,Infinitive must end in -en or -e,And to hire housbonde bad hire for to seye,No exception (normal form)
moten,moot,v%pr_pl,The General Prologue 232,data/oxford_txts/GP_oxford.txt,Men moot yeve silver to the povre freres.,OXFORD,Present plural must end in -en or -e,Men moote yeve silver to the povre freres,No exception (normal form)
putten,put,v%pt_pl,The Canon's Yeoman's Tale 1338,data/oxford_txts/CYT_oxford.txt,"They wente, and put thes teines in assay°",OXFORD,Past plural must end in -en or -e,They wente and putte thise teynes in assay,No exception (normal form)
understonden,understoode,v%pt_3,Book of the Duchess 1011,data/oxford_txts/BD_oxford.txt,And reson gladly she understoode,OXFORD,Strong pt sg must not end in -en or -e,And reson gladly she understood,No exception (normal form)
holden,hold,v%inf,Book of the Duchess 754,data/oxford_txts/BD_oxford.txt,¶“Gladly.” “Do than hold herto!”,OXFORD,Infinitive must end in -en or -e,Gladly Do thanne holde hereto,No exception (normal form)
discoveren,discover,v%pr_pl,The Merchant's Tale 1942,data/oxford_txts/MerT_oxford.txt,“Mercy! And that ye nat discover° me;,OXFORD,Present plural must end in -en or -e,Mercy And that ye nat discovere me,No exception (normal form)
comen,com,v%ppl,The Wife of Bath's Tale 988,data/oxford_txts/WBT_oxford.txt,"The day was com that hoomward moste he tourne,°",OXFORD,Strong participle must end in -en or -e,The day was come that homward moste he tourne,No exception (normal form)
feinten,faint,v%inf,Book of the Duchess 488,data/oxford_txts/BD_oxford.txt,His sorwful hert gan faste faint,OXFORD,Infinitive must end in -en or -e,Hys sorwful hert gan faste faynte,No exception (normal form)
bresten,breste,v%pt_3,Troilus and Criseyde; Book II 1108,data/oxford_txts/TC2_oxford.txt,"And she to laugh, it thoughte hir herte breste.",OXFORD,Strong pt sg must not end in -en or -e,And she to laughe it thoughte hire herte brest,No exception (normal form)
don,doon,v%inf,Troilus and Criseyde; Book II 696,data/oxford_txts/TC2_oxford.txt,"And what to doon best were, and what eschue",OXFORD,Infinitive must end in -en or -e,And what to doone best were and what eschue,No exception (normal form)
lien,lith,v%pr_3,Book of the Duchess 527,data/oxford_txts/BD_oxford.txt,"Quod he, “for ther lith noon therto;",OXFORD,Present 3rd sg must end in -eth,Quod he for ther lyeth noon therto,No exception (normal form)
leten,let,v%inf,The Friar's Tale 1362,data/oxford_txts/FriT_oxford.txt,"And pile° the man, and let the wenche go.",OXFORD,Infinitive must end in -en or -e,And pile the man and lete the wenche go,No exception (normal form)
singen,sing,v%inf,Book of the Duchess 318,data/oxford_txts/BD_oxford.txt,"To sing, for ech of hem him peined",OXFORD,Infinitive must end in -en or -e,To synge for ech of hem hym peyned,No exception (normal form)
hongen,henge,v%pt_3,Book of the Duchess 729,data/oxford_txts/BD_oxford.txt,"Henge hirself, so weylaway!",OXFORD,Strong pt sg must not end in -en or -e,Heng hirself so weylaway,No exception (normal form)
biholden,behelde,v%pt_1,House of Fame 897,data/oxford_txts/HF_oxford.txt,And behelde feldes° and plaines,OXFORD,Strong pt sg must not end in -en or -e,And beheld feldes and playnes,No exception (normal form)
thinken,think,v%inf,Parliament of Fowls 548,data/oxford_txts/PF_oxford.txt,Me wolde think how that the worthieste,OXFORD,Infinitive must end in -en or -e,Me wolde thynke how that the worthieste,No exception (normal form)
mouen,might,v%pt_pl,The Prioress' Tale 493,data/oxford_txts/PrT_oxford.txt,"And thurgh the strete men might ride or wende,°",OXFORD,Past plural must end in -en or -e,And thurgh the strete men myghte ride or wende,No exception (normal form)
moten,mot,v%pr_pl,The Clerk's Tale 526,data/oxford_txts/ClT_oxford.txt,"“Madame,” he seide, “ye mot foryeve it me",OXFORD,Present plural must end in -en or -e,Madame he seyde ye moote foryeve it me,No exception (normal form)
sen,saw,v%pt_pl,House of Fame 504,data/oxford_txts/HF_oxford.txt,That never saw men such a sighte,OXFORD,Past plural must end in -en or -e,That never sawe men such a syghte,No exception (normal form)
seien,sey,v%inf,The Summoner's Tale 2011,data/oxford_txts/SumT_oxford.txt,I coude of ire sey so muche sorwe,OXFORD,Infinitive must end in -en or -e,I koude of ire seye so muche sorwe,No exception (normal form)
fonden,fond,v%inf,Book of the Duchess 1332,data/oxford_txts/BD_oxford.txt,Fond° to put this swevene in rime°,OXFORD,Infinitive must end in -en or -e,Fonde to put this sweven in ryme,No exception (normal form)
neden,need,v%inf,Book of the Duchess 256,data/oxford_txts/BD_oxford.txt,Him thar not need° to turnen ofte.,OXFORD,Infinitive must end in -en or -e,Hym thar not nede to turnen ofte,No exception (normal form)
willen,wold,v%pt_pl,Book of the Duchess 351,data/oxford_txts/BD_oxford.txt,How they wold slee the hert° with strengthe,OXFORD,Past plural must end in -en or -e,How they wolde slee the hert with strengthe,No exception (normal form)
heren,heer,v%pr_pl,The Franklin's Tale 953,data/oxford_txts/FranT_oxford.txt,In other maner than ye heer me seye,OXFORD,Present plural must end in -en or -e,In oother manere than ye heere me seye,No exception (normal form)
tellen,tel,v%inf,The Squire's Tale 34,data/oxford_txts/SqT_oxford.txt,But for to tel yow al hir beautee,OXFORD,Infinitive must end in -en or -e,But for to telle yow al hir beautee,No exception (normal form)
knouen,know,v%inf,The Second Nun's Tale 238,data/oxford_txts/SNT_oxford.txt,"To know the trouthe, as I do in this place.”",OXFORD,Infinitive must end in -en or -e,To knowe the trouthe as I do in this place,No exception (normal form)
tellen,tell,v%inf,The General Prologue 831,data/oxford_txts/GP_oxford.txt,Lat se now who shal tell the firste tale.,OXFORD,Infinitive must end in -en or -e,Lat se now who shal telle the firste tale,No exception (normal form)
speken,spake,v%pt_3,House of Fame 555,data/oxford_txts/HF_oxford.txt,Til at the laste he to me spake,OXFORD,Strong pt sg must not end in -en or -e,Til at the laste he to me spak,No exception (normal form)
maken,mak,v%inf,Parliament of Fowls 312,data/oxford_txts/PF_oxford.txt,And that so huge a noise gan they mak,OXFORD,Infinitive must end in -en or -e,And that so huge a noyse gan they make,No exception (normal form)
