headword,word,tag,line_number,filename,context,text_type,reason,riverside_context,riverside_reason
tellen,tell,v%inf,The Franklin's Tale 803,data/oxford_txts/FranT_oxford.txt,"¶Who coude tell, but° he had wedded be,°",OXFORD,Infinitive must end in -en or -e,Who koude telle but he hadde wedded be,No exception (normal form)
cacchen,caughte,v%pt_3,The Friar's Tale 1317,data/oxford_txts/FriT_oxford.txt,For er° the bisshop caughte hem with his hook,OXFORD,"Weak pt sg must end in -ed, -d, or -t",For er the bisshop caughte hem with his hook,No exception (normal form)
haven,had,v%pt_pl,The Wife of Bath's Prologue 428,data/oxford_txts/WBPro_oxford.txt,Or elles had we never been in reste.,OXFORD,Past plural must end in -en or -e,Or elles hadde we nevere been in reste,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book IV 1701,data/oxford_txts/TC4_oxford.txt,"Withouten more, out of the chaumbre he wente.",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Withouten more out of the chaumbre he wente,No exception (normal form)
heren,herde,v%pt_3,The Summoner's Tale 2244,data/oxford_txts/SumT_oxford.txt,"That° carf° his mete, and herde, word by word",OXFORD,"Weak pt sg must end in -ed, -d, or -t",That karf his mete and herde word by word,No exception (normal form)
comen,com,v%inf,The Wife of Bath's Prologue 153,data/oxford_txts/WBPro_oxford.txt,Whan that him list° com forth and paye his dette.,OXFORD,Infinitive must end in -en or -e,Whan that hym list come forth and paye his dette,No exception (normal form)
bistouen,bistow,v%inf,The Wife of Bath's Prologue 113,data/oxford_txts/WBPro_oxford.txt,I wol bistow the flour° of al min age°,OXFORD,Infinitive must end in -en or -e,I wol bistowe the flour of al myn age,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book II 1102,data/oxford_txts/TC2_oxford.txt,"The cause of his cominge, thus answerde",OXFORD,"Weak pt sg must end in -ed, -d, or -t",The cause of his comynge thus answerde,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 828,data/oxford_txts/WBPro_oxford.txt,"Now wol I sey my tale, if ye wol here.”",OXFORD,Infinitive must end in -en or -e,Now wol I seye my tale if ye wol heere,No exception (normal form)
holden,hold,v%inf,Book of the Duchess 754,data/oxford_txts/BD_oxford.txt,¶“Gladly.” “Do than hold herto!”,OXFORD,Infinitive must end in -en or -e,Gladly Do thanne holde hereto,No exception (normal form)
faren,ferde,v%pt_3,The Knight's Tale 1372,data/oxford_txts/KnT_oxford.txt,"And in his gere,° for al the world he ferde°",OXFORD,Strong pt sg must not end in -en or -e,And in his geere for al the world he ferde,No exception (normal form)
ful-fillen,fulfill,v%inf,The Wife of Bath's Tale 1218,data/oxford_txts/WBT_oxford.txt,I shal fulfill your worldly° appetit.,OXFORD,Infinitive must end in -en or -e,I shal fulfille youre worldly appetit,No exception (normal form)
moten,mot,v%pr_pl,The Clerk's Tale 531,data/oxford_txts/ClT_oxford.txt,But men mot nede unto her lust° obeye,OXFORD,Present plural must end in -en or -e,But men moote nede unto hire lust obeye,No exception (normal form)
haven,had,v%pt_pl,The Wife of Bath's Prologue 212,data/oxford_txts/WBPro_oxford.txt,And sith they had me yeven° all hir lond,OXFORD,Past plural must end in -en or -e,And sith they hadde me yeven al hir lond,No exception (normal form)
holden,hold,v%inf,Book of the Duchess 1179,data/oxford_txts/BD_oxford.txt,That she wold hold me for° hir knight,OXFORD,Infinitive must end in -en or -e,That she wolde holde me for hir knyght,No exception (normal form)
trouen,trow,v%inf,Troilus and Criseyde; Book V 902,data/oxford_txts/TC5_oxford.txt,And that anoon; ye nil not trow how sone;,OXFORD,Infinitive must end in -en or -e,And that anon ye nyl nat trowe how sone,No exception (normal form)
shulen,shold,v%pt_pl,The Franklin's Tale 1530,data/oxford_txts/FranT_oxford.txt,Than° ye to me shold breke thus your trouthe,OXFORD,Past plural must end in -en or -e,Than ye to me sholde breke thus youre trouthe,No exception (normal form)
sterten,sterte,v%pt_3,The Miller's Tale 3816,data/oxford_txts/MilT_oxford.txt,¶This carpenter out of his slomber sterte,OXFORD,"Weak pt sg must end in -ed, -d, or -t",This carpenter out of his slomber sterte,No exception (normal form)
wenden,wente,v%pt_3,The Reeve's Tale 3957,data/oxford_txts/RvT_oxford.txt,Was noon so hardy° that wente by the weye,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Was noon so hardy that wente by the weye,No exception (normal form)
singen,sing,v%inf,Book of the Duchess 849,data/oxford_txts/BD_oxford.txt,Carole° and sing so swetely,OXFORD,Infinitive must end in -en or -e,Carole and synge so swetely,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book IV 170,data/oxford_txts/TC4_oxford.txt,That though the lordes wolde that she wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",That though the lordes wolde that she wente,No exception (normal form)
speken,spake,v%pt_3,House of Fame 555,data/oxford_txts/HF_oxford.txt,Til at the laste he to me spake,OXFORD,Strong pt sg must not end in -en or -e,Til at the laste he to me spak,No exception (normal form)
shitten,shette,v%pt_3,The Miller's Tale 3499,data/oxford_txts/MilT_oxford.txt,This Nicholas his dore faste shette,OXFORD,"Weak pt sg must end in -ed, -d, or -t",This Nicholas his dore faste shette,No exception (normal form)
tellen,tel,v%inf,The Squire's Tale 34,data/oxford_txts/SqT_oxford.txt,But for to tel yow al hir beautee,OXFORD,Infinitive must end in -en or -e,But for to telle yow al hir beautee,No exception (normal form)
seien,sey,v%inf,The Summoner's Tale 2011,data/oxford_txts/SumT_oxford.txt,I coude of ire sey so muche sorwe,OXFORD,Infinitive must end in -en or -e,I koude of ire seye so muche sorwe,No exception (normal form)
failen,fail,v%inf,Book of the Duchess 441,data/oxford_txts/BD_oxford.txt,Yet shulde he fail to rekene evene,OXFORD,Infinitive must end in -en or -e,Yet shoulde he fayle to rekene even,No exception (normal form)
seien,seyn,v%inf,Troilus and Criseyde; Book III 1793,data/oxford_txts/TC3_oxford.txt,"For sooth to seyn, he lost held every wight",OXFORD,Infinitive must end in -en or -e,For soth to seyne he lost held every wyght,No exception (normal form)
haven,hadde,v%pt_1,Troilus and Criseyde; Book IV 96,data/oxford_txts/TC4_oxford.txt,Allas! I ne hadde ybrought hir in hir sherte!,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Allas I ne hadde ibrought hire in hire sherte,No exception (normal form)
wenden,wente,v%pt_3,The Clerk's Tale 588,data/oxford_txts/ClT_oxford.txt,"Ne whenne° he cam, ne whider that he wente;",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Ne whenne he cam ne whider that he wente,No exception (normal form)
letten,let,v%inf,House of Fame 1954,data/oxford_txts/HF_oxford.txt,Ne porter ther is non to let°,OXFORD,Infinitive must end in -en or -e,Ne porter ther is noon to lette,No exception (normal form)
connen,con,v%pr_pl,The Nun's Priest's Tale 3321,data/oxford_txts/NPT_oxford.txt,"Let see, con ye° your fader countrefete?”°",OXFORD,Present plural must end in -en or -e,Lat se konne ye youre fader countrefete,No exception (normal form)
sterten,sterte,v%pt_3,House of Fame 1800,data/oxford_txts/HF_oxford.txt,"This Eolus anon up sterte,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",This Eolus anon up sterte,No exception (normal form)
pleien,pley,v%inf,Book of the Duchess 850,data/oxford_txts/BD_oxford.txt,Laughe and pley so womanly,OXFORD,Infinitive must end in -en or -e,Laughe and pleye so womanly,No exception (normal form)
wenden,wente,v%pt_3,House of Fame 441,data/oxford_txts/HF_oxford.txt,"To helle wente, for to see",OXFORD,"Weak pt sg must end in -ed, -d, or -t",To helle wente for to see,No exception (normal form)
answeren,answerde,v%pt_3,The Franklin's Tale 1227,data/oxford_txts/FranT_oxford.txt,"Answerde thus, “Fy on a thousand pound!",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Answerde thus Fy on a thousand pound,No exception (normal form)
setten,sette,v%pt_3,Troilus and Criseyde; Book I 359,data/oxford_txts/TC1_oxford.txt,He doun upon his beddes feet him sette,OXFORD,"Weak pt sg must end in -ed, -d, or -t",He doun upon his beddes feet hym sette,No exception (normal form)
heren,herde,v%pt_3,Troilus and Criseyde; Book II 646,data/oxford_txts/TC2_oxford.txt,Whan he the peple upon him herde crien,OXFORD,"Weak pt sg must end in -ed, -d, or -t",When he the peple upon hym herde cryen,No exception (normal form)
answeren,answerde,v%pt_3,The Knight's Tale 1714,data/oxford_txts/KnT_oxford.txt,¶This Palamon answerde hastily,OXFORD,"Weak pt sg must end in -ed, -d, or -t",This Palamon answerde hastily,No exception (normal form)
shitten,shette,v%pt_3,Troilus and Criseyde; Book III 726,data/oxford_txts/TC3_oxford.txt,"O Phebus, thenk whan Dane hirselven shette",OXFORD,"Weak pt sg must end in -ed, -d, or -t",O Phebus thynk whan Dane hireselven shette,No exception (normal form)
helen,heel,v%inf,Book of the Duchess 928,data/oxford_txts/BD_oxford.txt,"Ne bet coud heel that, by the masse",OXFORD,Infinitive must end in -en or -e,Ne bet koude hele that by the masse,No exception (normal form)
dien,dey,v%inf,Book of the Duchess 240,data/oxford_txts/BD_oxford.txt,“Rather then that I shulde dey°,OXFORD,Infinitive must end in -en or -e,Rather then that y shulde deye,No exception (normal form)
seien,seid,v%pt_pl,Troilus and Criseyde; Book III 301,data/oxford_txts/TC3_oxford.txt,Al seid men sooth as often as they gabbe.,OXFORD,Past plural must end in -en or -e,Al seyde men soth as often as thei gabbe,No exception (normal form)
sterten,sterte,v%pt_3,The Knight's Tale 1393,data/oxford_txts/KnT_oxford.txt,¶And with that word Arcite wook and sterte.°,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And with that word Arcite wook and sterte,No exception (normal form)
faren,ferde,v%pt_3,Troilus and Criseyde; Book III 1791,data/oxford_txts/TC3_oxford.txt,And glad was he if any wight wel ferde,OXFORD,Strong pt sg must not end in -en or -e,And glad was he if any wyght wel ferde,No exception (normal form)
heren,herde,v%pt_1,House of Fame 1931,data/oxford_txts/HF_oxford.txt,And the noise which that I herde,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And the noyse which that I herde,No exception (normal form)
shitten,shet,v%inf,The Wife of Bath's Tale 1141,data/oxford_txts/WBT_oxford.txt,And lat men shet the dores and go thenne;°,OXFORD,Infinitive must end in -en or -e,And lat men shette the dores and go thenne,No exception (normal form)
holden,hold,v%inf,Book of the Duchess 1019,data/oxford_txts/BD_oxford.txt,Hir lust° to hold no wight in honde;°,OXFORD,Infinitive must end in -en or -e,Hyr lust to holde no wyght in honde,No exception (normal form)
seien,sey,v%inf,Book of the Duchess 1189,data/oxford_txts/BD_oxford.txt,"And if I telle hir, to sey right sothe",OXFORD,Infinitive must end in -en or -e,And yif I telle hyr to seye ryght soth,No exception (normal form)
heren,herde,v%pt_3,The Franklin's Tale 1007,data/oxford_txts/FranT_oxford.txt,"Wo was Aurelie, whan that he this herde",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Wo was Aurelie whan that he this herde,No exception (normal form)
answeren,answerde,v%pt_3,The Second Nun's Tale 333,data/oxford_txts/SNT_oxford.txt,"To whom answerde Tiburce, “O suster dere",OXFORD,"Weak pt sg must end in -ed, -d, or -t",To whom answerde Tiburce O suster deere,No exception (normal form)
willen,wold,v%pt_pl,Troilus and Criseyde; Book III 455,data/oxford_txts/TC3_oxford.txt,"So as they dorste, how they wold procede.",OXFORD,Past plural must end in -en or -e,So as they durste how they wolde procede,No exception (normal form)
answeren,answerde,v%pt_3,The Miller's Tale 3779,data/oxford_txts/MilT_oxford.txt,"¶Gerveis answerde, “Certes, were it gold",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Gerveys answerde Certes were it gold,No exception (normal form)
graunten,grant,v%inf,The Wife of Bath's Tale 1174,data/oxford_txts/WBT_oxford.txt,Grant me grace to liven vertuously.,OXFORD,Infinitive must end in -en or -e,Grante me grace to lyven vertuously,No exception (normal form)
witen,wit,v%inf,The Friar's Tale 1514,data/oxford_txts/FriT_oxford.txt,Thou wolt algates° wit° how we ben shape;,OXFORD,Infinitive must end in -en or -e,Thou wolt algates wite how we been shape,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 813,data/oxford_txts/TC2_oxford.txt,Adoun the steire anoonright tho she wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Adown the steyre anonright tho she wente,No exception (normal form)
heren,herde,v%pt_3,The Knight's Tale 902,data/oxford_txts/KnT_oxford.txt,That herde swich another weimentinge;°,OXFORD,"Weak pt sg must end in -ed, -d, or -t",That herde swich another waymentynge,No exception (normal form)
leten,let,v%inf,The Friar's Tale 1362,data/oxford_txts/FriT_oxford.txt,"And pile° the man, and let the wenche go.",OXFORD,Infinitive must end in -en or -e,And pile the man and lete the wenche go,No exception (normal form)
henten,hente,v%pt_3,The Nun's Priest's Tale 3335,data/oxford_txts/NPT_oxford.txt,And by the gargat° hente° Chauntecleer,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And by the gargat hente Chauntecleer,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book IV 1528,data/oxford_txts/TC4_oxford.txt,"Answerde, “Ywis, my dere herte trewe",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Answerde Ywys my deere herte trewe,No exception (normal form)
shinen,shoon,v%pt_pl,House of Fame 507,data/oxford_txts/HF_oxford.txt,So shoon the egles fethres brighte,OXFORD,Past plural must end in -en or -e,So shone the egles fethers bryghte,No exception (normal form)
comen,came,v%pt_1,House of Fame 969,data/oxford_txts/HF_oxford.txt,Al the wey through whiche I came.,OXFORD,Strong pt sg must not end in -en or -e,All the wey thrugh which I cam,No exception (normal form)
heren,herde,v%pt_3,The General Prologue 221,data/oxford_txts/GP_oxford.txt,Ful swetely herde he confessioun,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Ful swetely herde he confessioun,No exception (normal form)
abiden,abode,v%pt_3,House of Fame 1602,data/oxford_txts/HF_oxford.txt,This Eolus nowher abode°,OXFORD,Strong pt sg must not end in -en or -e,This Eolus nowhere abod,No exception (normal form)
shitten,shette,v%pt_3,Troilus and Criseyde; Book III 1086,data/oxford_txts/TC3_oxford.txt,Therwith the sorwe so his herte shette,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Therwith the sorwe so his herte shette,No exception (normal form)
neden,need,v%inf,Book of the Duchess 256,data/oxford_txts/BD_oxford.txt,Him thar not need° to turnen ofte.,OXFORD,Infinitive must end in -en or -e,Hym thar not nede to turnen ofte,No exception (normal form)
maken,mak,v%inf,Parliament of Fowls 312,data/oxford_txts/PF_oxford.txt,And that so huge a noise gan they mak,OXFORD,Infinitive must end in -en or -e,And that so huge a noyse gan they make,No exception (normal form)
seien,sey,v%pr_pl,The Summoner's Tale 1933,data/oxford_txts/SumT_oxford.txt,Whan they for soules sey the psalm of Davit,OXFORD,Present plural must end in -en or -e,Whan they for soules seye the psalm of Davit,No exception (normal form)
answeren,answerde,v%pt_3,The Miller's Tale 3843,data/oxford_txts/MilT_oxford.txt,For what so° that this carpenter answerde,OXFORD,"Weak pt sg must end in -ed, -d, or -t",For what so that this carpenter answerde,No exception (normal form)
preien,pray,v%inf,The Summoner's Tale 1960,data/oxford_txts/SumT_oxford.txt,To pray for yow ben insufficient?,OXFORD,Infinitive must end in -en or -e,To praye for yow been insufficient,No exception (normal form)
answeren,answer,v%inf,The Shipman's Tale 412,data/oxford_txts/ShipT_oxford.txt,"I wol answer yow shortly, to the point.",OXFORD,Infinitive must end in -en or -e,I wol answere yow shortly to the poynt,No exception (normal form)
henten,hente,v%pt_3,Troilus and Criseyde; Book V 90,data/oxford_txts/TC5_oxford.txt,"In swich a craft, and by the reine hir hente;",OXFORD,"Weak pt sg must end in -ed, -d, or -t",In swich a craft and by the reyne hire hente,No exception (normal form)
kepen,keep,v%inf,The Wife of Bath's Prologue 360,data/oxford_txts/WBPro_oxford.txt,"In feith, he shal nat keep me but me lest;°",OXFORD,Infinitive must end in -en or -e,In feith he shal nat kepe me but me lest,No exception (normal form)
maken,mak,v%inf,Book of the Duchess 1160,data/oxford_txts/BD_oxford.txt,Althogh I coud not mak so wele,OXFORD,Infinitive must end in -en or -e,Althogh I koude not make so wel,No exception (normal form)
disseveren,dissever,v%inf,The Canon's Yeoman's Tale 875,data/oxford_txts/CYT_oxford.txt,"That futur temps° hath maad men to dissever,°",OXFORD,Infinitive must end in -en or -e,That futur temps hath maad men to dissevere,No exception (normal form)
faren,ferde,v%pt_3,Troilus and Criseyde; Book III 1529,data/oxford_txts/TC3_oxford.txt,And Troilus unto his palais ferde,OXFORD,Strong pt sg must not end in -en or -e,And Troilus unto his paleys ferde,No exception (normal form)
shulen,shold,v%pt_pl,The Miller's Tale 3454,data/oxford_txts/MilT_oxford.txt,Men shold nat knowe of Goddes privetee.°,OXFORD,Past plural must end in -en or -e,Men sholde nat knowe of Goddes pryvetee,No exception (normal form)
maken,mak,v%pr_pl,The Friar's Tale 1505,data/oxford_txts/FriT_oxford.txt,Mak ye yow newe bodies thus alway,OXFORD,Present plural must end in -en or -e,Make ye yow newe bodies thus alway,No exception (normal form)
setten,sette,v%pt_3,House of Fame 1050,data/oxford_txts/HF_oxford.txt,He sette me faire on my fete,OXFORD,"Weak pt sg must end in -ed, -d, or -t",He sette me fair on my fete,No exception (normal form)
wenden,wente,v%pt_1,House of Fame 2131,data/oxford_txts/HF_oxford.txt,And as I altherfastest° wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And as I altherfastest wente,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book V 1303,data/oxford_txts/TC5_oxford.txt,“Thou hast not writen hir sin that she wente,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Thow hast nat writen hire syn that she wente,No exception (normal form)
wenden,wente,v%pt_3,The Miller's Tale 3319,data/oxford_txts/MilT_oxford.txt,In hoses rede° he wente fetisly.°,OXFORD,"Weak pt sg must end in -ed, -d, or -t",In hoses rede he wente fetisly,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 666,data/oxford_txts/WBPro_oxford.txt,"¶“Now wol I sey yow sooth, by Seint Thomas",OXFORD,Infinitive must end in -en or -e,Now wol I seye yow sooth by Seint Thomas,No exception (normal form)
undertaken,undertak,v%inf,The Squire's Tale 36,data/oxford_txts/SqT_oxford.txt,I dar nat undertak so heigh a thing.,OXFORD,Infinitive must end in -en or -e,I dar nat undertake so heigh a thyng,No exception (normal form)
wedden,wed,v%inf,The Wife of Bath's Prologue 168,data/oxford_txts/WBPro_oxford.txt,Yet hadde I lever° wed no wif toyere!”°,OXFORD,Infinitive must end in -en or -e,Yet hadde I levere wedde no wyf toyeere,No exception (normal form)
setten,sette,v%pt_3,Troilus and Criseyde; Book IV 234,data/oxford_txts/TC4_oxford.txt,Upon his beddes side adoun him sette,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Upon his beddes syde adown hym sette,No exception (normal form)
wenden,wente,v%pt_3,The Monk's Tale 2256,data/oxford_txts/MkT_oxford.txt,"Office° of wommen, and to wood° she wente;",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Office of wommen and to wode she wente,No exception (normal form)
moten,most,v%pt_pl,The Wife of Bath's Prologue 427,data/oxford_txts/WBPro_oxford.txt,"That they most yeve it up,° as for the beste;",OXFORD,Past plural must end in -en or -e,That they moste yeve it up as for the beste,No exception (normal form)
bresten,breste,v%pt_3,Troilus and Criseyde; Book II 1108,data/oxford_txts/TC2_oxford.txt,"And she to laugh, it thoughte hir herte breste.",OXFORD,Strong pt sg must not end in -en or -e,And she to laughe it thoughte hire herte brest,No exception (normal form)
pleien,pley,v%inf,Book of the Duchess 961,data/oxford_txts/BD_oxford.txt,¶“Therto she coude so wel pley,OXFORD,Infinitive must end in -en or -e,Therto she koude so wel pleye,No exception (normal form)
dien,dey,v%inf,Book of the Duchess 692,data/oxford_txts/BD_oxford.txt,But live and dey° right in this thoght.,OXFORD,Infinitive must end in -en or -e,But lyve and deye ryght in this thoght,No exception (normal form)
lesen,lees,v%inf,The Franklin's Tale 1362,data/oxford_txts/FranT_oxford.txt,"Or know myselven fals, or lees my name",OXFORD,Infinitive must end in -en or -e,Or knowe myselven fals or lese my name,No exception (normal form)
hongen,hang,v%inf,The Canon's Yeoman's Tale 1029,data/oxford_txts/CYT_oxford.txt,Another day do hang me by the hals!”°,OXFORD,Infinitive must end in -en or -e,Another day do hange me by the hals,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 1402,data/oxford_txts/TC2_oxford.txt,Quod he; and to Deiphebus wente he tho,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Quod he and to Deiphebus wente he tho,No exception (normal form)
seien,sey,v%inf,Book of the Duchess 962,data/oxford_txts/BD_oxford.txt,"Whan that hir list, that I dar sey",OXFORD,Infinitive must end in -en or -e,Whan that hir lyste that I dar seye,No exception (normal form)
seien,sey,v%inf,Book of the Duchess 651,data/oxford_txts/BD_oxford.txt,"Trowest thou?° by our Lorde, I wol thee sey.”°",OXFORD,Infinitive must end in -en or -e,Trowest thou By oure Lord I wol the seye,No exception (normal form)
wenden,wente,v%pt_3,The Knight's Tale 2809,data/oxford_txts/KnT_oxford.txt,"¶His spirit chaunged hous,° and wente ther",OXFORD,"Weak pt sg must end in -ed, -d, or -t",His spirit chaunged hous and wente ther,No exception (normal form)
haven,had,v%pt_pl,The Canon's Yeoman's Tale 864,data/oxford_txts/CYT_oxford.txt,"For had we him,° than wer we siker ynow.°",OXFORD,Past plural must end in -en or -e,For hadde we hym thanne were we siker ynow,No exception (normal form)
sterten,sterte,v%pt_3,The Knight's Tale 1762,data/oxford_txts/KnT_oxford.txt,"And though he first for ire quook and sterte,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And though he first for ire quook and sterte,No exception (normal form)
henten,hente,v%pt_3,The Knight's Tale 957,data/oxford_txts/KnT_oxford.txt,"And in his armes he hem alle up hente,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And in his armes he hem alle up hente,No exception (normal form)
durren,dur,v%inf,Troilus and Criseyde; Book V 840,data/oxford_txts/TC5_oxford.txt,"Stod paregal, to dur don that him leste.",OXFORD,Infinitive must end in -en or -e,Stood paregal to durre don that hym leste,No exception (normal form)
heren,herde,v%pt_3,The Squire's Tale 398,data/oxford_txts/SqT_oxford.txt,And for the foules° that she herde singe;,OXFORD,"Weak pt sg must end in -ed, -d, or -t",And for the foweles that she herde synge,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book V 1108,data/oxford_txts/TC5_oxford.txt,"Gan, in his course ay upward as he wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Gan in his cours ay upward as he wente,No exception (normal form)
listen,list,v%pr_pl,The Canon's Yeoman's Tale 891,data/oxford_txts/CYT_oxford.txt,"If that men list,° this folk they knowe may.",OXFORD,Present plural must end in -en or -e,If that men liste this folk they knowe may,No exception (normal form)
seien,sey,v%inf,The Summoner's Tale 2009,data/oxford_txts/SumT_oxford.txt,"Can sey, how ire engendreth° homicide.",OXFORD,Infinitive must end in -en or -e,Kan seye how ire engendreth homycide,No exception (normal form)
sweren,swer,v%inf,Book of the Duchess 820,data/oxford_txts/BD_oxford.txt,"For I dar swer, withoute doute",OXFORD,Infinitive must end in -en or -e,For I dar swere withoute doute,No exception (normal form)
setten,sette,v%pt_3,Troilus and Criseyde; Book III 953,data/oxford_txts/TC3_oxford.txt,This Troilus ful sone on knees him sette,OXFORD,"Weak pt sg must end in -ed, -d, or -t",This Troilus ful soone on knees hym sette,No exception (normal form)
wenden,wente,v%pt_1,The Clerk's Tale 875,data/oxford_txts/ClT_oxford.txt,That I smoklees° out of your paleis wente.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",That I smoklees out of youre paleys wente,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book V 176,data/oxford_txts/TC5_oxford.txt,Criseyde unto that purpos lite answerde,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Criseyde unto that purpos lite answerde,No exception (normal form)
wenden,wente,v%pt_3,The Franklin's Tale 1491,data/oxford_txts/FranT_oxford.txt,But they ne wiste why she thider wente.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",But they ne wiste why she thider wente,No exception (normal form)
comen,com,v%inf,The Franklin's Tale 1115,data/oxford_txts/FranT_oxford.txt,"But° men might touch° the arwe, or com therby.°",OXFORD,Infinitive must end in -en or -e,But men myghte touche the arwe or come therby,No exception (normal form)
answeren,answerde,v%pt_3,Troilus and Criseyde; Book IV 178,data/oxford_txts/TC4_oxford.txt,"Gan it withstonde, and sobrely answerde:—",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Gan it withstonde and sobrely answerde,No exception (normal form)
seien,sey,v%inf,The Friar's Tale 1363,data/oxford_txts/FriT_oxford.txt,"¶“Than wolde he sey, ‘Frend, I shal for thy sake",OXFORD,Infinitive must end in -en or -e,Thanne wolde he seye Freend I shal for thy sake,No exception (normal form)
techen,taughte,v%pt_3,Troilus and Criseyde; Book V 1016,data/oxford_txts/TC5_oxford.txt,The brighte Venus folwede and ay taughte,OXFORD,"Weak pt sg must end in -ed, -d, or -t",The brighte Venus folwede and ay taughte,No exception (normal form)
setten,sette,v%pt_3,The Miller's Tale 3756,data/oxford_txts/MilT_oxford.txt,"Of paramours° he sette nat a kers,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Of paramours he sette nat a kers,No exception (normal form)
blouen,blow,v%inf,The Miller's Tale 3387,data/oxford_txts/MilT_oxford.txt,That Absolon may blow the bukkes horn;°,OXFORD,Infinitive must end in -en or -e,That Absolon may blowe the bukkes horn,No exception (normal form)
understonden,understoode,v%pt_3,Book of the Duchess 1011,data/oxford_txts/BD_oxford.txt,And reson gladly she understoode,OXFORD,Strong pt sg must not end in -en or -e,And reson gladly she understood,No exception (normal form)
witen,wist,v%pt_pl,Troilus and Criseyde; Book IV 1618,data/oxford_txts/TC4_oxford.txt,“For if ye wist how sore it doth me smerte,OXFORD,Past plural must end in -en or -e,For if ye wiste how soore it doth me smerte,No exception (normal form)
connen,can,v%pr_pl,The Clerk's Tale 933,data/oxford_txts/ClT_oxford.txt,"As clerkes, whan hem list, can wel endite",OXFORD,Present plural must end in -en or -e,As clerkes whan hem list konne wel endite,No exception (normal form)
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 596,data/oxford_txts/TC2_oxford.txt,"With this he took his leve, and hoom he wente;",OXFORD,"Weak pt sg must end in -ed, -d, or -t",With this he took his leve and hom he wente,No exception (normal form)
haven,had,v%pt_pl,The Merchant's Tale 1479,data/oxford_txts/MerT_oxford.txt,"Ful litel nede° had ye, my lord so dere",OXFORD,Past plural must end in -en or -e,Ful litel nede hadde ye my lord so deere,No exception (normal form)
preien,pray,v%pr_pl,The Summoner's Tale 1945,data/oxford_txts/SumT_oxford.txt,In our chapitre° pray we day and night,OXFORD,Present plural must end in -en or -e,In our chapitre praye we day and nyght,No exception (normal form)
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 801,data/oxford_txts/TC2_oxford.txt,"And coye hem, that they sey non harm of me?",OXFORD,Present plural must end in -en or -e,And coye hem that they seye noon harm of me,No exception (normal form)
shulen,shold,v%pt_pl,The General Prologue 506,data/oxford_txts/GP_oxford.txt,"By his clennesse, how that his sheep shold live.",OXFORD,Past plural must end in -en or -e,By his clennesse how that his sheep sholde lyve,No exception (normal form)
wenden,wente,v%pt_3,The General Prologue 255,data/oxford_txts/GP_oxford.txt,"Yet wolde he have a ferthing, er he wente.",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Yet wolde he have a ferthyng er he wente,No exception (normal form)
pleien,play,v%inf,Book of the Duchess 656,data/oxford_txts/BD_oxford.txt,Allas! I couth no lenger play,OXFORD,Infinitive must end in -en or -e,Allas I kouthe no lenger playe,No exception (normal form)
